rally,avg_rally_length,epsilon,left_states,right_states
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
2500,0.55,0.6065,5260,5154
